penA_allele	mosaic_type
9.003	NonMosaic
9.004	NonMosaic
9.005	NonMosaic
9.006	NonMosaic
9.007	NonMosaic
9.008	NonMosaic
9.009	NonMosaic
9.010	NonMosaic
9.011	NonMosaic
9.012	NonMosaic
9.013	NonMosaic
9.014	NonMosaic
9.015	NonMosaic
9.016	NonMosaic
9.017	NonMosaic
10.001	Mosaic
10.002	Mosaic
10.003	Mosaic
10.004	Mosaic
10.005	Mosaic
10.006	Mosaic
10.007	Mosaic
10.008	Mosaic
10.009	Mosaic
10.010	Mosaic
10.011	Mosaic
10.012	Mosaic
10.013	Mosaic
10.014	Mosaic
10.015	Mosaic
10.016	Mosaic
10.017	Mosaic
10.018	Mosaic
10.019	Mosaic
10.020	Mosaic
10.021	Mosaic
10.022	Mosaic
10.023	Mosaic
10.024	Mosaic
10.025	Mosaic
11.001	NonMosaic
11.002	NonMosaic
12.001	NonMosaic
12.002	NonMosaic
12.003	NonMosaic
12.004	NonMosaic
12.005	NonMosaic
12.006	NonMosaic
12.007	NonMosaic
12.008	NonMosaic
12.010	NonMosaic
12.011	NonMosaic
12.012	NonMosaic
12.013	NonMosaic
13.001	NonMosaic
13.002	NonMosaic
13.003	NonMosaic
13.004	NonMosaic
13.005	NonMosaic
13.006	NonMosaic
13.007	NonMosaic
13.008	NonMosaic
13.009	NonMosaic
13.010	NonMosaic
13.011	NonMosaic
13.012	NonMosaic
13.013	NonMosaic
13.014	NonMosaic
13.015	NonMosaic
13.016	NonMosaic
13.017	NonMosaic
14.001	NonMosaic
14.002	NonMosaic
14.003	NonMosaic
14.004	NonMosaic
14.005	NonMosaic
14.006	NonMosaic
14.007	NonMosaic
14.008	NonMosaic
14.009	NonMosaic
14.010	NonMosaic
14.011	NonMosaic
14.012	NonMosaic
14.013	NonMosaic
14.014	NonMosaic
14.015	NonMosaic
14.016	NonMosaic
14.017	NonMosaic
14.018	NonMosaic
14.019	NonMosaic
14.020	NonMosaic
14.021	NonMosaic
14.022	NonMosaic
14.023	NonMosaic
14.024	NonMosaic
14.025	NonMosaic
14.026	NonMosaic
14.027	NonMosaic
14.028	NonMosaic
14.029	NonMosaic
14.030	NonMosaic
14.031	NonMosaic
14.032	NonMosaic
14.033	NonMosaic
14.034	NonMosaic
14.035	NonMosaic
14.036	NonMosaic
14.037	NonMosaic
14.038	NonMosaic
14.039	NonMosaic
14.040	NonMosaic
14.041	NonMosaic
15.001	NonMosaic
15.002	NonMosaic
15.003	NonMosaic
15.004	NonMosaic
15.005	NonMosaic
15.006	NonMosaic
15.007	NonMosaic
15.008	NonMosaic
15.009	NonMosaic
15.010	NonMosaic
15.011	NonMosaic
16.001	NonMosaic
16.002	NonMosaic
16.003	NonMosaic
16.004	NonMosaic
16.005	NonMosaic
16.006	NonMosaic
16.007	NonMosaic
16.008	NonMosaic
17.001	NonMosaic
17.002	NonMosaic
18.001	NonMosaic
18.002	NonMosaic
18.003	NonMosaic
18.004	NonMosaic
18.005	NonMosaic
19.001	NonMosaic
19.002	NonMosaic
19.003	NonMosaic
19.004	NonMosaic
19.005	NonMosaic
19.006	NonMosaic
19.007	NonMosaic
19.008	NonMosaic
19.009	NonMosaic
19.010	NonMosaic
19.011	NonMosaic
19.012	NonMosaic
19.013	NonMosaic
19.014	NonMosaic
19.015	NonMosaic
19.016	NonMosaic
19.017	NonMosaic
19.018	NonMosaic
19.019	NonMosaic
19.020	NonMosaic
19.021	NonMosaic
19.022	NonMosaic
19.023	NonMosaic
19.024	NonMosaic
19.025	NonMosaic
19.026	NonMosaic
19.027	NonMosaic
19.028	NonMosaic
19.029	NonMosaic
19.030	NonMosaic
19.031	NonMosaic
19.032	NonMosaic
21.001	NonMosaic
21.002	NonMosaic
21.003	NonMosaic
21.004	NonMosaic
22.001	NonMosaic
22.002	NonMosaic
22.003	NonMosaic
22.004	NonMosaic
22.005	NonMosaic
22.006	NonMosaic
22.007	NonMosaic
22.008	NonMosaic
22.009	NonMosaic
22.010	NonMosaic
22.011	NonMosaic
22.012	NonMosaic
22.013	NonMosaic
22.014	NonMosaic
22.015	NonMosaic
22.016	NonMosaic
22.017	NonMosaic
22.018	NonMosaic
22.019	NonMosaic
22.020	NonMosaic
22.021	NonMosaic
22.022	NonMosaic
22.023	NonMosaic
22.024	NonMosaic
22.025	NonMosaic
22.026	NonMosaic
22.027	NonMosaic
22.028	NonMosaic
24.001	NonMosaic
27.001	Mosaic
27.002	Mosaic
27.003	Mosaic
27.004	Mosaic
27.005	Mosaic
27.006	Mosaic
30.001	Mosaic
30.002	Mosaic
30.003	Mosaic
31.001	Mosaic
32.001	Mosaic
34.001	Mosaic
34.002	Mosaic
34.003	Mosaic
34.004	Mosaic
34.005	Mosaic
34.006	Mosaic
34.007	Mosaic
34.008	Mosaic
34.009	Mosaic
34.010	Mosaic
34.011	Mosaic
34.012	Mosaic
34.013	Mosaic
34.014	Mosaic
34.015	Mosaic
34.016	Mosaic
34.017	Mosaic
34.018	Mosaic
34.019	Mosaic
34.020	Mosaic
34.021	Mosaic
34.022	Mosaic
34.023	Mosaic
34.024	Mosaic
34.025	Mosaic
34.026	Mosaic
34.027	Mosaic
34.028	Mosaic
34.029	Mosaic
34.030	Mosaic
34.031	Mosaic
34.032	Mosaic
34.033	Mosaic
34.034	Mosaic
34.035	Mosaic
34.036	Mosaic
34.037	Mosaic
34.038	Mosaic
34.039	Mosaic
34.040	Mosaic
34.041	Mosaic
34.042	Mosaic
34.043	Mosaic
34.044	Mosaic
34.045	Mosaic
34.046	Mosaic
34.047	Mosaic
34.048	Mosaic
34.049	Mosaic
34.050	Mosaic
34.051	Mosaic
34.052	Mosaic
34.053	Mosaic
34.054	Mosaic
34.055	Mosaic
34.056	Mosaic
34.057	Mosaic
34.058	Mosaic
34.059	Mosaic
34.060	Mosaic
34.061	Mosaic
34.062	Mosaic
34.063	Mosaic
34.064	Mosaic
35.001	Mosaic
35.002	Mosaic
35.003	Mosaic
37.001	Mosaic
38.001	Mosaic
38.002	Mosaic
39.001	SemiMosaic
40.001	NonMosaic
41.001	NonMosaic
41.002	NonMosaic
42.001	Mosaic
43.001	NonMosaic
43.002	NonMosaic
43.003	NonMosaic
43.004	NonMosaic
43.005	NonMosaic
43.006	NonMosaic
43.007	NonMosaic
43.008	NonMosaic
43.009	NonMosaic
43.011	NonMosaic
43.012	NonMosaic
43.013	NonMosaic
43.014	NonMosaic
44.001	NonMosaic
44.002	NonMosaic
44.003	NonMosaic
44.004	NonMosaic
44.005	NonMosaic
44.006	NonMosaic
44.007	NonMosaic
44.008	NonMosaic
44.009	NonMosaic
44.011	NonMosaic
45.001	NonMosaic
45.002	NonMosaic
45.003	NonMosaic
45.004	NonMosaic
46.001	NonMosaic
47.001	SemiMosaic
48.001	NonMosaic
48.002	NonMosaic
49.001	NonMosaic
50.001	NonMosaic
50.002	NonMosaic
51.001	Mosaic
52.001	Mosaic
52.002	Mosaic
53.001	Mosaic
53.002	Mosaic
53.003	Mosaic
54.001	NonMosaic
54.002	NonMosaic
54.003	NonMosaic
55.001	Mosaic
56.001	NonMosaic
57.001	NonMosaic
58.001	Mosaic
59.001	Mosaic
60.001	Mosaic
60.002	Mosaic
60.003	Mosaic
60.004	Mosaic
60.005	Mosaic
60.006	Mosaic
60.007	Mosaic
60.008	Mosaic
60.009	Mosaic
60.010	Mosaic
60.011	Mosaic
61.001	NonMosaic
61.002	NonMosaic
62.001	Mosaic
63.001	Mosaic
63.002	Mosaic
64.001	Mosaic
64.002	Mosaic
65.001	SemiMosaic
66.001	NonMosaic
67.001	Mosaic
67.002	Mosaic
67.003	Mosaic
67.004	NonMosaic
67.005	Mosaic
67.006	Mosaic
67.007	Mosaic
68.001	NonMosaic
70.001	NonMosaic
71.001	Mosaic
72.001	Mosaic
72.002	Mosaic
72.003	Mosaic
72.004	Mosaic
72.005	Mosaic
72.006	Mosaic
73.001	SemiMosaic
74.001	Mosaic
75.001	Mosaic
76.001	NonMosaic
76.002	NonMosaic
76.003	NonMosaic
76.004	NonMosaic
76.005	NonMosaic
76.006	NonMosaic
76.007	NonMosaic
77.001	NonMosaic
78.001	SemiMosaic
78.002	SemiMosaic
78.003	SemiMosaic
79.001	NonMosaic
79.002	NonMosaic
80.001	SemiMosaic
80.002	SemiMosaic
81.001	SemiMosaic
82.001	NonMosaic
83.001	NonMosaic
84.001	NonMosaic
85.001	Mosaic
85.002	Mosaic
85.003	Mosaic
85.004	Mosaic
85.005	Mosaic
86.001	NonMosaic
87.001	NonMosaic
87.002	NonMosaic
88.001	NonMosaic
89.001	SemiMosaic
90.001	NonMosaic
91.001	SemiMosaic
91.002	SemiMosaic
91.003	SemiMosaic
92.001	Mosaic
93.001	SemiMosaic
93.002	SemiMosaic
93.003	SemiMosaic
94.001	NonMosaic
94.002	NonMosaic
95.001	NonMosaic
96.001	NonMosaic
97.001	NonMosaic
98.001	NonMosaic
98.002	NonMosaic
99.001	NonMosaic
100.001	NonMosaic
100.002	NonMosaic
100.003	NonMosaic
100.004	NonMosaic
100.005	NonMosaic
100.006	NonMosaic
100.007	NonMosaic
100.008	NonMosaic
100.009	NonMosaic
100.010	NonMosaic
100.011	NonMosaic
100.012	NonMosaic
100.013	NonMosaic
100.014	NonMosaic
100.015	NonMosaic
100.016	NonMosaic
100.017	NonMosaic
100.018	NonMosaic
100.019	NonMosaic
100.020	NonMosaic
101.001	Mosaic
101.002	Mosaic
102.001	NonMosaic
103.001	NonMosaic
103.002	NonMosaic
103.003	NonMosaic
103.004	NonMosaic
103.005	NonMosaic
103.006	Nonmosaic
104.001	NonMosaic
105.001	Mosaic
105.002	Mosaic
106.001	NonMosaic
107.001	NonMosaic
108.001	Mosaic
109.001	NonMosaic
110.001	Mosaic
111.001	Mosaic
112.001	SemiMosaic
112.002	SemiMosaic
113.001	SemiMosaic
114.001	SemiMosaic
115.001	Mosaic
116.001	SemiMosaic
117.001	Mosaic
118.001	Mosaic
119.001	NonMosaic
120.001	NonMosaic
120.002	NonMosaic
120.003	NonMosaic
121.001	Mosaic
121.002	Mosaic
122.001	-
123.001	NonMosaic
124.001	Mosaic
124.002	Mosaic
124.003	NonMosaic
125.001	NonMosaic
126.001	NonMosaic
127.001	NonMosaic
128.001	SemiMosaic
129.001	Mosaic
130.001	SemiMosaic
131.001	Mosaic
132.001	NonMosaic
133.001	Mosaic
134.001	Mosaic
134.002	Mosaic
135.001	SemiMosaic
136.001	Mosaic
137.001	NonMosaic
138.001	Mosaic
139.001	Mosaic
140.001	SemiMosaic
140.002	SemiMosaic
141.001	NonMosaic
142.001	NonMosaic
143.001	NonMosaic
144.001	NonMosaic
145.001	Mosaic
146.001	NonMosaic
147.001	NonMosaic
148.001	NonMosaic
149.001	Mosaic
149.002	Mosaic
150.001	SemiMosaic
150.002	SemiMosaic
151.001	NonMosaic
152.001	Mosaic
153.001	NonMosaic
154.001	NonMosaic
155.001	NonMosaic
156.001	NonMosaic
157.001	NonMosaic
158.001	NonMosaic
159.001	NonMosaic
160.001	NonMosaic
160.002	NonMosaic
160.003	NonMosaic
160.004	NonMosaic
161.001	NonMosaic
162.001	NonMosaic
163.001	NonMosaic
164.001	SemiMosaic
165.001	SemiMosaic
166.001	Mosaic
166.002	Mosaic
166.003	Mosaic
166.004	Mosaic
166.005	Mosaic
166.006	Mosaic
166.007	Mosaic
166.008	Mosaic
166.009	Mosaic
166.010	Mosaic
166.011	Mosaic
167.001	SemiMosaic
169.001	Mosaic
170.001	NonMosaic
170.002	NonMosaic
171.001	Mosaic
172.001	Mosaic
173.001	SemiMosaic
174.001	NonMosaic
175.001	NonMosaic
176.001	NonMosaic
176.002	NonMosaic
177.001	SemiMosaic
178.001	NonMosaic
179.001	NonMosaic
180.001	Mosaic
181.001	NonMosaic
182.001	NonMosaic
183.001	NonMosaic
184.001	NonMosaic
185.001	NonMosaic
186.001	NonMosaic
187.001	NonMosaic
187.002	NonMosaic
188.001	Mosaic
189.001	NonMosaic
190.001	NonMosaic
191.001	NonMosaic
192.001	NonMosaic
193.001	NonMosaic
194.001	NonMosaic
196.001	Mosaic
198.001	Mosaic
198.002	Mosaic
198.003	Mosaic
198.004	Mosaic
198.005	Mosaic
198.006	Mosaic
198.007	Mosaic
198.008	Mosaic
198.009	Mosaic
199.001	NonMosaic
200.001	NonMosaic
201.001	NonMosaic
202.001	NonMosaic
203.001	NonMosaic
204.001	NonMosaic
205.001	Mosaic
207.001	Mosaic
208.001	NonMosaic
208.002	NonMosaic
208.003	NonMosaic
209.001	NonMosaic
210.001	NonMosaic
211.001	Mosaic
212.001	Mosaic
213.001	NonMosaic
214.001	Mosaic
215.001	Mosaic
215.002	Mosaic
216.001	SemiMosaic
217.001	Mosaic
218.001	NonMosaic
218.002	NonMosaic
219.001	Mosaic
220.001	NonMosaic
221.001	NonMosaic
222.001	NonMosaic
223.001	Mosaic
223.002	Mosaic
223.003	Mosaic
224.001	NonMosaic
225.001	NonMosaic
226.001	NonMosaic
227.001	NonMosaic
228.001	NonMosaic
229.001	NonMosaic
230.001	-
231.001	NonMosaic
232.001	Mosaic
232.002	Mosaic
233.001	Mosaic
234.001	NonMosaic
234.002	NonMosaic
235.001	NonMosaic
237.001	Mosaic
237.002	Mosaic
237.003	Mosaic
238.001	NonMosaic
239.001	NonMosaic
240.001	SemiMosaic
241.001	Mosaic
242.001	NonMosaic
242.002	NonMosaic
242.003	NonMosaic
242.004	NonMosaic
243.001	SemiMosaic
244.001	Mosaic
245.001	NonMosaic
246.001	NonMosaic
248.001	Mosaic
249.001	NonMosaic
250.001	Mosaic
251.001	NonMosaic
252.001	SemiMosaic
253.001	SemiMosaic
253.002	SemiMosaic
254.001	Mosaic
255.001	NonMosaic
256.001	Mosaic
257.001	Mosaic
258.001	SemiMosaic
259.001	NonMosaic
260.001	SemiMosaic
261.001	Mosaic
262.001	NonMosaic
263.001	SemiMosaic
264.001	Mosaic
265.001	Mosaic
265.002	Mosaic
266.001	NonMosaic
267.001	NonMosaic
268.001	Mosaic
269.001	NonMosaic
270.001	Mosaic
271.001	Mosaic
272.001	NonMosaic
273.001	Mosaic
274.001	Mosaic
275.001	Mosaic
275.002	Mosaic
276.001	NonMosaic
277.001	NonMosaic
278.001	NonMosaic
279.001	NonMosaic
279.002	NonMosaic
280.001	Mosaic
281.001	NonMosaic
282.001	NonMosaic
283.001	NonMosaic
283.002	NonMosaic
284.001	Mosaic
284.002	Mosaic
285.001	NonMosaic
286.001	SemiMosaic
287.001	Mosaic
288.001	Mosaic
289.001	Mosaic
290.001	NonMosaic
291.001	Mosaic
292.001	Mosaic
293.001	Mosaic
294.001	Mosaic
294.002	Mosaic
295.001	NonMosaic
296.001	NonMosaic
297.001	Mosaic
297.002	Mosaic
298.001	Mosaic
299.001	SemiMosaic
300.001	SemiMosaic
301.001	NonMosaic
302.001	NonMosaic
303.001	NonMosaic
304.001	SemiMosaic
305.001	NonMosaic
306.001	SemiMosaic
307.001	Mosaic
308.001	NonMosaic
309.001	NonMosaic
310.001	NonMosaic
311.001	NonMosaic
312.001	Mosaic
313.001	NonMosaic
314.001	Mosaic
315.001	Mosaic
316.001	NonMosaic
317.001	NonMosaic
318.001	Mosaic
319.001	NonMosaic
320.001	NonMosaic
321.001	NonMosaic
322.001	NonMosaic
322.002	NonMosaic
323.001	NonMosaic
324.001	NonMosaic
325.001	Mosaic
326.001	NonMosaic
327.001	NonMosaic
328.001	Mosaic
329.001	NonMosaic
330.001	NonMosaic
331.001	NonMosaic
332.001	Mosaic
333.001	Mosaic
334.001	Mosaic
335.001	NonMosaic
335.002	NonMosaic
336.001	NonMosaic
337.001	SemiMosaic
338.001	NonMosaic
339.001	NonMosaic
340.001	Mosaic
341.001	NonMosaic
342.001	Mosaic
343.001	Mosaic
344.001	NonMosaic
345.001	Mosaic
346.001	Mosaic
346.002	Mosaic
347.001	Mosaic
348.001	NonMosaic
349.001	Mosaic
350.001	Mosaic
351.001	NonMosaic
352.001	Mosaic
353.001	Mosaic
354.001	NonMosaic
355.001	NonMosaic
356.001	SemiMosaic
357.001	NonMosaic
358.001	NonMosaic
359.001	NonMosaic
360.001	NonMosaic
361.001	NonMosaic
362.001	NonMosaic
363.001	Mosaic
364.001	Mosaic
365.001	NonMosaic
366.001	NonMosaic
367.001	NonMosaic
368.001	Mosaic
369.001	Mosaic
370.001	SemiMosaic
371.001	Mosaic
372.001	NonMosaic
373.001	NonMosaic
374.001	NonMosaic
375.001	NonMosaic
376.001	SemiMosaic
377.001	SemiMosaic
378.001	-
